Final_Date,Hours of Darktime,Time_Total_Minutes
1/01/2023,14:30,870
2/01/2023,14:29,869
3/01/2023,14:28,868
4/01/2023,14:28,868
5/01/2023,14:27,867
6/01/2023,14:26,866
7/01/2023,14:25,865
8/01/2023,14:24,864
9/01/2023,14:23,863
10/01/2023,14:22,862
11/01/2023,14:20,860
12/01/2023,14:19,859
13/01/2023,14:18,858
14/01/2023,14:16,856
15/01/2023,14:15,855
16/01/2023,14:14,854
17/01/2023,14:12,852
18/01/2023,14:11,851
19/01/2023,14:09,849
20/01/2023,14:07,847
21/01/2023,14:06,846
22/01/2023,14:04,844
23/01/2023,14:02,842
24/01/2023,14:01,841
25/01/2023,13:59,839
26/01/2023,13:57,837
27/01/2023,13:55,835
28/01/2023,13:53,833
29/01/2023,13:51,831
30/01/2023,13:49,829
31/01/2023,13:47,827
1/02/2023,13:45,825
2/02/2023,13:43,823
3/02/2023,13:41,821
4/02/2023,13:39,819
5/02/2023,13:37,817
6/02/2023,13:35,815
7/02/2023,13:32,812
8/02/2023,13:30,810
9/02/2023,13:28,808
10/02/2023,13:26,806
11/02/2023,13:23,803
12/02/2023,13:21,801
13/02/2023,13:19,799
14/02/2023,13:16,796
15/02/2023,13:14,794
16/02/2023,13:12,792
17/02/2023,13:09,789
18/02/2023,13:07,787
19/02/2023,13:05,785
20/02/2023,13:02,782
21/02/2023,13:00,780
22/02/2023,12:57,777
23/02/2023,12:55,775
24/02/2023,12:53,773
25/02/2023,12:50,770
26/02/2023,12:48,768
27/02/2023,12:45,765
28/02/2023,12:43,763
1/03/2023,12:40,760
2/03/2023,12:38,758
3/03/2023,12:35,755
4/03/2023,12:33,753
5/03/2023,12:30,750
6/03/2023,12:28,748
7/03/2023,12:25,745
8/03/2023,12:23,743
9/03/2023,12:20,740
10/03/2023,12:17,737
11/03/2023,12:15,735
12/03/2023,12:12,732
13/03/2023,12:10,730
14/03/2023,12:07,727
15/03/2023,12:05,725
16/03/2023,12:02,722
17/03/2023,12:00,720
18/03/2023,11:57,717
19/03/2023,11:55,715
20/03/2023,11:52,712
21/03/2023,11:49,709
22/03/2023,11:47,707
23/03/2023,11:44,704
24/03/2023,11:42,702
25/03/2023,11:39,699
26/03/2023,11:37,697
27/03/2023,11:34,694
28/03/2023,11:32,692
29/03/2023,11:29,689
30/03/2023,11:27,687
31/03/2023,11:24,684
1/04/2023,11:22,682
2/04/2023,11:19,679
3/04/2023,11:17,677
4/04/2023,11:14,674
5/04/2023,11:12,672
6/04/2023,11:09,669
7/04/2023,11:07,667
8/04/2023,11:04,664
9/04/2023,11:02,662
10/04/2023,10:59,659
11/04/2023,10:57,657
12/04/2023,10:54,654
13/04/2023,10:52,652
14/04/2023,10:49,649
15/04/2023,10:47,647
16/04/2023,10:45,645
17/04/2023,10:42,642
18/04/2023,10:40,640
19/04/2023,10:37,637
20/04/2023,10:35,635
21/04/2023,10:33,633
22/04/2023,10:30,630
23/04/2023,10:28,628
24/04/2023,10:26,626
25/04/2023,10:23,623
26/04/2023,10:21,621
27/04/2023,10:19,619
28/04/2023,10:17,617
29/04/2023,10:14,614
30/04/2023,10:12,612
1/05/2023,10:10,610
2/05/2023,10:08,608
3/05/2023,10:06,606
4/05/2023,10:04,604
5/05/2023,10:02,602
6/05/2023,10:00,600
7/05/2023,09:58,598
8/05/2023,09:56,596
9/05/2023,09:54,594
10/05/2023,09:52,592
11/05/2023,09:50,590
12/05/2023,09:48,588
13/05/2023,09:46,586
14/05/2023,09:44,584
15/05/2023,09:42,582
16/05/2023,09:40,580
17/05/2023,09:39,579
18/05/2023,09:37,577
19/05/2023,09:35,575
20/05/2023,09:34,574
21/05/2023,09:32,572
22/05/2023,09:31,571
23/05/2023,09:29,569
24/05/2023,09:28,568
25/05/2023,09:26,566
26/05/2023,09:25,565
27/05/2023,09:23,563
28/05/2023,09:22,562
29/05/2023,09:21,561
30/05/2023,09:20,560
31/05/2023,09:19,559
1/06/2023,09:17,557
2/06/2023,09:16,556
3/06/2023,09:15,555
4/06/2023,09:14,554
5/06/2023,09:13,553
6/06/2023,09:13,553
7/06/2023,09:12,552
8/06/2023,09:11,551
9/06/2023,09:10,550
10/06/2023,09:10,550
11/06/2023,09:09,549
12/06/2023,09:09,549
13/06/2023,09:08,548
14/06/2023,09:08,548
15/06/2023,09:07,547
16/06/2023,09:07,547
17/06/2023,09:07,547
18/06/2023,09:07,547
19/06/2023,09:06,546
20/06/2023,09:06,546
21/06/2023,09:06,546
22/06/2023,09:06,546
23/06/2023,09:06,546
24/06/2023,09:07,547
25/06/2023,09:07,547
26/06/2023,09:07,547
27/06/2023,09:07,547
28/06/2023,09:08,548
29/06/2023,09:08,548
30/06/2023,09:09,549
1/07/2023,09:09,549
2/07/2023,09:10,550
3/07/2023,09:10,550
4/07/2023,09:11,551
5/07/2023,09:12,552
6/07/2023,09:13,553
7/07/2023,09:14,554
8/07/2023,09:14,554
9/07/2023,09:15,555
10/07/2023,09:16,556
11/07/2023,09:18,558
12/07/2023,09:19,559
13/07/2023,09:20,560
14/07/2023,09:21,561
15/07/2023,09:22,562
16/07/2023,09:24,564
17/07/2023,09:25,565
18/07/2023,09:26,566
19/07/2023,09:28,568
20/07/2023,09:29,569
21/07/2023,09:31,571
22/07/2023,09:32,572
23/07/2023,09:34,574
24/07/2023,09:35,575
25/07/2023,09:37,577
26/07/2023,09:39,579
27/07/2023,09:41,581
28/07/2023,09:42,582
29/07/2023,09:44,584
30/07/2023,09:46,586
31/07/2023,09:48,588
1/08/2023,09:50,590
2/08/2023,09:52,592
3/08/2023,09:53,593
4/08/2023,09:55,595
5/08/2023,09:57,597
6/08/2023,09:59,599
7/08/2023,10:01,601
8/08/2023,10:04,604
9/08/2023,10:06,606
10/08/2023,10:08,608
11/08/2023,10:10,610
12/08/2023,10:12,612
13/08/2023,10:14,614
14/08/2023,10:16,616
15/08/2023,10:19,619
16/08/2023,10:21,621
17/08/2023,10:23,623
18/08/2023,10:25,625
19/08/2023,10:28,628
20/08/2023,10:30,630
21/08/2023,10:32,632
22/08/2023,10:34,634
23/08/2023,10:37,637
24/08/2023,10:39,639
25/08/2023,10:41,641
26/08/2023,10:44,644
27/08/2023,10:46,646
28/08/2023,10:49,649
29/08/2023,10:51,651
30/08/2023,10:53,653
31/08/2023,10:56,656
1/09/2023,10:58,658
2/09/2023,11:01,661
3/09/2023,11:03,663
4/09/2023,11:05,665
5/09/2023,11:08,668
6/09/2023,11:10,670
7/09/2023,11:13,673
8/09/2023,11:15,675
9/09/2023,11:18,678
10/09/2023,11:20,680
11/09/2023,11:23,683
12/09/2023,11:25,685
13/09/2023,11:28,688
14/09/2023,11:30,690
15/09/2023,11:33,693
16/09/2023,11:35,695
17/09/2023,11:38,698
18/09/2023,11:40,700
19/09/2023,11:43,703
20/09/2023,11:45,705
21/09/2023,11:48,708
22/09/2023,11:50,710
23/09/2023,11:53,713
24/09/2023,11:55,715
25/09/2023,11:58,718
26/09/2023,12:00,720
27/09/2023,12:03,723
28/09/2023,12:05,725
29/09/2023,12:08,728
30/09/2023,12:10,730
1/10/2023,12:13,733
2/10/2023,12:15,735
3/10/2023,12:18,738
4/10/2023,12:20,740
5/10/2023,12:23,743
6/10/2023,12:25,745
7/10/2023,12:28,748
8/10/2023,12:30,750
9/10/2023,12:33,753
10/10/2023,12:35,755
11/10/2023,12:38,758
12/10/2023,12:40,760
13/10/2023,12:43,763
14/10/2023,12:45,765
15/10/2023,12:47,767
16/10/2023,12:50,770
17/10/2023,12:52,772
18/10/2023,12:55,775
19/10/2023,12:57,777
20/10/2023,12:59,779
21/10/2023,13:02,782
22/10/2023,13:04,784
23/10/2023,13:07,787
24/10/2023,13:09,789
25/10/2023,13:11,791
26/10/2023,13:14,794
27/10/2023,13:16,796
28/10/2023,13:18,798
29/10/2023,13:21,801
30/10/2023,13:23,803
31/10/2023,13:25,805
1/11/2023,13:27,807
2/11/2023,13:29,809
3/11/2023,13:32,812
4/11/2023,13:34,814
5/11/2023,13:36,816
6/11/2023,13:38,818
7/11/2023,13:40,820
8/11/2023,13:42,822
9/11/2023,13:44,824
10/11/2023,13:46,826
11/11/2023,13:48,828
12/11/2023,13:50,830
13/11/2023,13:52,832
14/11/2023,13:54,834
15/11/2023,13:56,836
16/11/2023,13:58,838
17/11/2023,14:00,840
18/11/2023,14:01,841
19/11/2023,14:03,843
20/11/2023,14:05,845
21/11/2023,14:07,847
22/11/2023,14:08,848
23/11/2023,14:10,850
24/11/2023,14:11,851
25/11/2023,14:13,853
26/11/2023,14:14,854
27/11/2023,14:16,856
28/11/2023,14:17,857
29/11/2023,14:18,858
30/11/2023,14:20,860
1/12/2023,14:21,861
2/12/2023,14:22,862
3/12/2023,14:23,863
4/12/2023,14:24,864
5/12/2023,14:25,865
6/12/2023,14:26,866
7/12/2023,14:27,867
8/12/2023,14:28,868
9/12/2023,14:29,869
10/12/2023,14:29,869
11/12/2023,14:30,870
12/12/2023,14:31,871
13/12/2023,14:31,871
14/12/2023,14:32,872
15/12/2023,14:32,872
16/12/2023,14:33,873
17/12/2023,14:33,873
18/12/2023,14:33,873
19/12/2023,14:33,873
20/12/2023,14:33,873
21/12/2023,14:34,874
22/12/2023,14:34,874
23/12/2023,14:33,873
24/12/2023,14:33,873
25/12/2023,14:33,873
26/12/2023,14:33,873
27/12/2023,14:33,873
28/12/2023,14:32,872
29/12/2023,14:32,872
30/12/2023,14:31,871
31/12/2023,14:31,871
